old_office_key,office_hier_key,office_name,address_street_name,address_street_number,address_local_number,location_latitude,location_longitude,office_business_key
,1,Call Center in Athen city,Tomgaard's st.,21,33,-32.4123,70.8062,CALTOM2133
,1,Call Center in Ravenbruck city,Ismail's st.,5,30,-59.846,-162.0445,CALISM0530
,1,Call Center in Seattle city,Chopin's st.,13,14,75.9145,154.2529,CALCHO1314
,1,Call Center in Erevan city,Dionizos's st.,5,90,0.1573,130.2211,CALDIO0590
,1,Call Center in Frankfurt am Main city,Lang's st.,18,28,83.5437,20.7388,CALLAN1828
,1,Call Center in Warsaw city,Foch's st.,3,23,23.0758,48.4673,CALFOC0323
,1,Call Center in Ostenfurt city,Preslay's st.,6,16,-56.1148,-112.9587,CALPRE0616
,1,Call Center in Bern city,Zweig's st.,8,67,1.324,5.8601,CALZWE0867
,1,Call Center in Jarocin city,Nobel's st.,5,86,-86.0367,44.3596,CALNOB0586
,1,Call Center in Neuestadt city,Sienkiewicz's st.,7,81,-59.6622,-139.1664,CALSIE0781
,1,Call Center in Kohln city,Bismark's st.,17,72,-59.4366,105.3694,CALBIS1772
,1,Call Center in Dortmund city,Raganstein's st.,14,97,2.81,-33.4812,CALRAG1497
,1,Call Center in Tokio city,Mickiewicz's st.,18,42,-34.4925,141.1335,CALMIC1842
,1,Call Center in Hasting city,Adalbert's st.,15,34,60.1693,-89.8581,CALADA1534
,1,Call Center in Grodno city,Ohm's st.,1,9,-13.3223,20.0694,CALOHM0109
